time,temperature,pressure,humidity,fan,battery,mic
2022-03-08 13:28:31.751238,30.11,101051.19,91.83,89,236,3086
2022-03-08 13:28:32.795143,29.96,101048.26,91.84,88,236,1275
2022-03-08 13:28:36.563982,30.04,101049.05,86.09,89,222,327
2022-03-08 13:28:40.350209,29.95,101045.91,79.90,90,206,339
2022-03-08 13:28:44.118170,29.79,101044.77,76.74,90,198,1956
2022-03-08 13:28:47.903044,29.82,101046.80,83.91,89,216,1260
2022-03-08 13:28:51.681777,29.84,101046.67,86.17,89,222,1308
2022-03-08 13:28:55.447488,29.88,101047.79,84.79,89,218,1905
2022-03-08 13:28:59.223858,29.91,101047.30,83.81,89,216,1753
2022-03-08 13:29:02.997653,29.88,101047.64,83.99,89,216,1594
2022-03-08 13:29:06.777625,29.95,101043.48,84.27,89,217,1453
2022-03-08 13:29:10.561983,29.95,101048.28,83.89,89,216,2085
2022-03-08 13:29:14.338390,29.97,101047.54,84.18,89,217,1703
2022-03-08 13:29:18.105291,29.89,101046.86,83.51,89,215,1678
