time,temperature,pressure,humidity,fan,battery,mic
2022-03-09 15:51:04.946715,28.10,101905.00,73.08,89,189,652
2022-03-09 15:51:06.897367,27.95,101902.55,65.36,91,170,495
2022-03-09 15:51:10.683077,27.90,101903.92,61.98,91,161,308
2022-03-09 15:51:14.460473,27.86,101902.53,59.25,90,155,436
2022-03-09 15:51:18.235097,27.85,101899.43,58.46,89,153,508
2022-03-09 15:51:22.013321,27.80,101903.91,59.34,92,155,371
2022-03-09 15:51:25.788074,27.77,101901.30,59.54,91,155,376
2022-03-09 15:51:29.564761,27.75,101897.19,62.12,90,162,464
2022-03-09 15:51:33.331233,27.68,101897.50,62.95,89,164,271
2022-03-09 15:51:37.116236,27.72,101900.84,61.37,89,160,290
2022-03-09 15:51:40.880075,27.68,101907.02,58.59,89,153,376
2022-03-09 15:51:44.660980,27.55,101903.12,54.75,92,143,375
2022-03-09 15:51:48.443832,27.52,101907.02,52.73,91,138,302
2022-03-09 15:51:52.217388,27.56,101906.41,54.59,91,143,288
2022-03-09 15:51:55.984803,27.54,101906.91,53.49,90,140,353
2022-03-09 15:51:59.764141,27.56,101907.57,59.14,90,154,325
2022-03-09 15:52:03.534758,27.55,101902.28,60.80,89,158,227
2022-03-09 15:52:07.325556,27.47,101904.14,61.49,89,160,417
